auditid;HoldHeatSetpoint;HoldCoolSetpoint;NonProgrammableHeatSetpoint;NonProgrammableCoolSetpoint;SystemSwitchSetting;FanMode;ScheduleOnOff;HoldMode;ContinuousBacklight;Degrees;TempOffset;HumidityOffset;LocalHumidityDisplayEnabled;OutdoorTempDisplayEnabled;LocalTimeDisplayEnabled;HeatCycleRate;CoolCycleRate;AuxCycleRate;FastSecondStageHeat;FastSecondStageCool;FastSecondStageAux;ComfortRecovery;Id;Updated
4834465;255;255;64;73;off;on;0;0;0;F;0;0;1;0;1;1;1;1;1;1;1;0;2693;2014-11-20 06:58:47
4834558;255;255;61;74;cool;on;0;0;0;F;0;0;1;0;1;1;1;1;1;1;1;0;16390;2014-11-24 23:50:47
4834712;255;255;76;73;heat;on;0;0;0;F;0;0;1;0;1;1;1;1;1;1;1;0;2693;2014-11-25 06:53:31
4837812;255;255;70;85;heat;on;1;0;0;F;0;0;0;0;1;1;1;1;1;1;1;0;15320;2014-11-21 07:15:38
4837921;255;255;68;78;heat;on;1;0;0;F;0;0;1;0;1;0;0;1;1;1;1;0;2764;2014-11-24 10:38:13
4840309;68;75;68;78;heat;on;1;1;0;F;0;0;1;0;1;0;0;1;1;1;1;0;2764;2014-11-25 09:06:22
4841637;69;83;70;85;heat;on;1;1;0;F;0;0;0;0;1;1;1;1;1;1;1;0;15320;2014-11-25 09:01:59
4849375;255;255;69;61;heat;on;1;0;0;F;0;0;0;0;1;1;1;1;1;1;1;0;16188;2014-11-24 22:02:50
4849477;70;75;69;61;heat;on;1;1;0;F;0;0;0;0;1;1;1;1;1;1;1;0;16188;2014-11-25 18:09:23
4850391;255;255;61;77;cool;on;0;0;0;F;0;0;1;0;1;1;1;1;1;1;1;0;16390;2014-11-25 06:57:32
4850489;255;255;61;74;cool;on;0;0;0;F;0;0;1;0;1;1;1;1;1;1;1;0;16390;2014-11-25 18:48:32
4851287;255;255;61;73;cool;on;0;0;0;F;0;0;1;0;1;1;1;1;1;1;1;0;16390;2014-11-25 18:51:46
4853173;69;75;69;61;heat;on;1;1;0;F;0;0;0;0;1;1;1;1;1;1;1;0;16188;2014-11-25 18:12:54
4855664;255;255;61;74;cool;on;0;0;0;F;0;0;1;0;1;1;1;1;1;1;1;0;16390;2014-11-25 19:17:56
4857233;70;75;69;61;heat;on;1;1;0;F;0;0;0;0;1;1;1;1;1;1;1;0;16188;2014-11-25 20:24:31
4858390;255;255;61;75;cool;on;0;0;0;F;0;0;1;0;1;1;1;1;1;1;1;0;16390;2014-11-25 21:42:32
4858780;255;255;61;76;cool;on;0;0;0;F;0;0;1;0;1;1;1;1;1;1;1;0;16390;2014-11-25 23:02:09
4861422;255;255;61;75;cool;on;0;0;0;F;0;0;1;0;1;1;1;1;1;1;1;0;16390;2014-11-25 23:19:31
4863078;255;255;61;74;cool;on;0;0;0;F;0;0;1;0;1;1;1;1;1;1;1;0;16390;2014-11-26 02:53:33
4863214;64;83;70;85;heat;on;1;1;0;F;0;0;0;0;1;1;1;1;1;1;1;0;15320;2014-11-25 12:38:19
4863537;255;255;76;73;off;on;0;0;0;F;0;0;1;0;1;1;1;1;1;1;1;0;2693;2014-11-25 07:02:29
4863557;255;255;76;73;heat;on;0;0;0;F;0;0;1;0;1;1;1;1;1;1;1;0;2693;2014-11-26 06:33:45
